x,y,w
0.36,0.08,1
0.44,0.1,1
0.48,0.08,1
0.48,0.14,1
0.5,0.1,1
0.76,0.14,1
0.78,0.12,1
0.78,0.16,1
0.84,0.08,1
0.86,0.18,1
0.9,0.08,1
0.9,0.1,1
0.9,0.16,1
0.9,0.2,1
0.18,0.4,1
0.18,0.38,1
0.2,0.42,1
0.6,0.34,1
0.62,0.34,1
0.64,0.36,1
0.64,0.28,1
0.68,0.32,1
0.68,0.24,1
0.7,0.28,1
0.72,0.26,1
0.1,0.58,1
0.12,0.58,1
0.12,0.62,1
0.14,0.58,1
0.18,0.56,1
0.18,0.54,1
0.2,0.52,1
0.2,0.5,1
0.22,0.46,1
0.24,0.48,1
0.52,0.58,1
0.5,0.6,1
0.58,0.58,1
0.94,0.52,1
0.96,0.54,1
0.22,0.8,1
0.22,0.84,1
0.26,0.7,1
0.44,0.76,1
0.48,0.78,1
0.5,0.76,1
0.9,0.76,1
0.9,0.78,1
0.48,0.68,1
0.52,0.66,1
0.56,0.64,1
0.999,0.84,1
0.44,0.82,1
0.48,0.82,1
0.34,0.84,1
0.38,0.84,1
0.26,0.86,1
0.4,0.86,1
0.28,0.86,1
0.74,0.9,1
0.86,0.9,1
0.96,0.96,1
